iter	MAE
219	0.3629992932
220	0.3629630629
221	0.3629346848
222	0.3628622863
223	0.3628074178
224	0.3627761198
225	0.3627281454
226	0.3626650847
227	0.3626381291
228	0.3625997347
229	0.3625745034
230	0.3625502627
231	0.3625199107
232	0.3624705273
233	0.3624013867
234	0.3623149469
235	0.362205134
236	0.362169002
237	0.3621480568
238	0.3621420572
239	0.3621254251
240	0.3620913004
241	0.3620663279
242	0.3620335516
243	0.3619608558
244	0.3618989292
245	0.3618613803
246	0.3618335502
247	0.3617604243
248	0.3617347659
249	0.3617256197
250	0.361690825
251	0.3616289112
252	0.3615838538
253	0.3615222432
254	0.3614525273
255	0.3614279308
256	0.3614117599
257	0.3613583171
258	0.3612854464
259	0.3612618047
260	0.3612261822
261	0.3611899632
262	0.3611568997
263	0.3611355577
264	0.3610805964
265	0.3610100299
266	0.3609934976
267	0.3609466821
268	0.3609267223
269	0.3608969548
270	0.3608526307
271	0.3608421508
272	0.3607773765
273	0.3607598463
274	0.3607056754
275	0.3606754403
276	0.3606516637
277	0.3606178054
278	0.3605394905
279	0.3605000154
280	0.3604890647
281	0.360386381
282	0.3603586749
283	0.3603452984
284	0.3603424002
285	0.3602862523
286	0.3602479659
287	0.3602040202
288	0.3601728991
289	0.3601412636
290	0.3600694672
291	0.360015994
292	0.359987194
293	0.3599548458
294	0.3598684274
295	0.3598304454
296	0.3597813138
297	0.359736737
298	0.3597205945
299	0.3596510282
300	0.3595914967
301	0.3595448803
302	0.3594714669
303	0.3594442096
304	0.3593888485
305	0.3593660369
306	0.3593158456
307	0.3592923227
308	0.3592610814
309	0.3592427482
310	0.3591990732
311	0.3591547447
312	0.3591211778
313	0.3590945556
314	0.3590076969
315	0.3589647012
316	0.3589292548
317	0.3589019827
318	0.3588785284
319	0.3588675358
320	0.3588206219
321	0.3587509335
322	0.3587257218
323	0.3586574389
324	0.3586039801
325	0.3585808093
326	0.3584637407
327	0.3584367681
328	0.358363493
329	0.3583271369
330	0.358288202
331	0.3582316327
332	0.3582121
333	0.3581856964
334	0.3581566696
335	0.3580849558
336	0.3580666287
337	0.358031368
338	0.358021366
339	0.3579975567
340	0.3579656527
341	0.3578943712
342	0.3578418043
343	0.3577363949
344	0.3577271187
345	0.357678429
346	0.3576278812
347	0.3575993026
348	0.3575733656
349	0.3575177171
350	0.3574512779
351	0.3574160061
352	0.3573486992
353	0.3573188234
354	0.357261859
355	0.3571946203
356	0.3571626495
357	0.3571475921
358	0.3571028112
359	0.3570680092
360	0.357000192
361	0.3569202679
362	0.3569055285
363	0.3568496382
364	0.3568156776
365	0.3567919309
366	0.3567272181
367	0.3566948865
368	0.356667911
369	0.3566108975
370	0.3565712526
371	0.3565243085
372	0.3564923772
373	0.3564015206
374	0.3563600274
375	0.3563162779
376	0.3562785753
377	0.3561805921
378	0.3561207348
379	0.3561156587
380	0.3560457061
381	0.3559938652
382	0.3559523213
383	0.3558996529
384	0.3558086916
385	0.3557458
386	0.3556994151
387	0.3556806676
388	0.3556760557
389	0.3555953985
390	0.3555833879
391	0.355555836
392	0.3555125958
393	0.3554803356
394	0.3554649672
395	0.3554362304
396	0.3553999044
397	0.3553474906
398	0.3553132388
399	0.3553075951
400	0.3552928362
401	0.3552566158
402	0.355221222
403	0.3551418001
404	0.355100195
405	0.3550537316
406	0.3549951245
407	0.3549187095
408	0.3548635641
409	0.3548447713
410	0.3547949541
411	0.3547480346
412	0.3547066269
413	0.3546681234
414	0.3546105016
415	0.3545737282
416	0.3545406447
417	0.3544827429
418	0.3544420865
419	0.3543781613
420	0.3543701892
421	0.3542790408
422	0.3542104676
423	0.3541710531
424	0.3541535332
425	0.3541375303
426	0.354110187
427	0.3540390742
428	0.3540115798
429	0.3539623778
430	0.3538614038
431	0.3538474987
432	0.3537954906
433	0.3537747127
434	0.3537356278
435	0.3536256093
436	0.3535746912
437	0.353536359
438	0.3534801226
439	0.3534084767
440	0.3533989292
441	0.3533860272
442	0.3533780888
443	0.3533401994
444	0.3532955135
445	0.3532534863
446	0.3532047422
447	0.3531747367
448	0.3531306444
449	0.3531011196
450	0.353082478
451	0.3530390567
452	0.3530162342
453	0.3529873456
454	0.3529317317
455	0.3528926851
456	0.3528684943
457	0.3528569921
458	0.3528034112
459	0.352790321
460	0.352761911
461	0.3527563725
462	0.3526911156
463	0.3526140023
464	0.3526086038
465	0.3525270944
466	0.3525029312
467	0.3524796206
468	0.3524481032
469	0.3524349299
470	0.3523205565
471	0.3522787931
472	0.3522681618
473	0.3522079138
474	0.3521571501
475	0.3520881495
476	0.352046321
477	0.3520074386
478	0.3519831877
479	0.3519666801
480	0.3519244763
481	0.3518861482
482	0.3518643878
483	0.3518202839
484	0.3518066137
485	0.351767222
486	0.351737467
487	0.3517035422
488	0.3516666087
489	0.3516453737
490	0.3516314118
491	0.351580526
492	0.3515545368
493	0.3515437394
494	0.3515097778
495	0.3514918809
496	0.3514445377
497	0.3514093562
498	0.3513713984
499	0.3513171194
500	0.351256667
501	0.3512359898
502	0.3511733249
503	0.3511499982
504	0.3511423728
505	0.3511021908
506	0.3510779018
507	0.3510368782
508	0.3510152951
509	0.3509653231
510	0.3509361745
511	0.3508922419
512	0.3508183215
513	0.3507311489
514	0.3506942868
515	0.3506522513
516	0.3506265484
517	0.3505567888
518	0.350518919
519	0.3504782925
520	0.3504245819
521	0.3503809924
522	0.3502811357
523	0.3502200036
524	0.3501750143
525	0.3501396352
526	0.350086024
527	0.3500454347
528	0.3500281205
529	0.3500163793
530	0.350008475
531	0.3499801229
532	0.3499265628
533	0.349904766
534	0.3498948132
535	0.3497895298
536	0.3497580304
537	0.3497285348
538	0.3496929256
539	0.3496426174
540	0.3496247967
541	0.3495936831
542	0.3495847397
543	0.3495192379
544	0.349475876
545	0.3494516093
546	0.349416292
547	0.3493383251
548	0.3492965409
549	0.3492608206
550	0.3492356437
551	0.3492159292
552	0.349185558
553	0.3491559194
554	0.3491253425
555	0.3490902156
556	0.349074669
557	0.3490398721
558	0.3490282811
559	0.3490066394
560	0.349001576
561	0.3489864828
562	0.3489489771
563	0.3489216966
564	0.3489143605
565	0.3488947021
566	0.3488545259
567	0.3488327932
568	0.3488209626
569	0.3488153903
570	0.348771261
571	0.3487197511
572	0.34869252
573	0.3486479863
574	0.3486180219
575	0.3485828803
576	0.3485403485
577	0.3485084271
578	0.3484916157
579	0.3484456041
580	0.348421944
581	0.3483738319
582	0.3483537957
583	0.3483466033
584	0.3483127034
585	0.348283721
586	0.3482552324
587	0.3481980255
588	0.3481758229
589	0.3481345421
590	0.3481271714
591	0.3481232811
592	0.3480917911
593	0.3480831708
594	0.3480028709
595	0.3479858455
596	0.3479738465
597	0.3479343071
598	0.3478985975
599	0.3478645729
600	0.3478358377
601	0.3478130945
602	0.3478035218
603	0.3477721242
604	0.3477664329
605	0.3477451947
606	0.3477348223
607	0.3477251076
608	0.3476889825
609	0.3476667329
610	0.3476366313
611	0.3476115322
612	0.3475903415
613	0.3475502414
614	0.3474755718
615	0.347406013
616	0.3473620847
617	0.3473550561
618	0.3473336287
619	0.3472851793
620	0.3472658394
621	0.3472319052
622	0.3472289318
623	0.3472047579
624	0.3471874426
625	0.3471618012
626	0.3471321901
627	0.3471196104
628	0.3471115961
629	0.3470854017
630	0.3470404506
631	0.347020346
632	0.3470118909
633	0.346998632
634	0.3469740798
635	0.3469148852
636	0.3468887455
637	0.3468846854
638	0.3468620087
639	0.346851518
640	0.3468321972
641	0.3468052422
642	0.3467891317
643	0.3467651282
644	0.3467620436
645	0.3467190784
646	0.3466798587
647	0.346666712
648	0.346644656
649	0.3466198346
650	0.3466030567
651	0.346574987
652	0.346484229
653	0.3464713944
654	0.3464247369
655	0.3463996589
656	0.3463517216
657	0.346338828
658	0.3463106342
659	0.3462875167
660	0.3462653994
661	0.3462393404
662	0.3461858808
663	0.3461558046
664	0.3461480842
665	0.3461471201
666	0.346075987
667	0.3460693157
668	0.3460477733
669	0.3460335209
670	0.3459912611
671	0.3459594067
672	0.3459411178
673	0.3459226086
674	0.3459206027
675	0.3459127189
676	0.3458375022
677	0.345829165
678	0.3457755434
679	0.3457257473
680	0.3456688759
681	0.3456367805
682	0.3456173163
683	0.3456016158
684	0.3455818922
685	0.3455503275
686	0.3454904118
687	0.3454645066
688	0.3454525541
689	0.3454371826
690	0.3454119204
691	0.3453756907
692	0.3453032942
693	0.3452383624
694	0.345214759
695	0.345176949
696	0.3451537518
697	0.3451471516
698	0.3451401687
699	0.3451268997
700	0.3451122059
701	0.3450941993
702	0.3450529146
703	0.345032248
704	0.3449812541
705	0.3449365494
706	0.3449134584
707	0.3448656235
708	0.3448428105
709	0.3448136697
710	0.3447980844
711	0.3447732498
712	0.3447531719
713	0.3447250379
714	0.3446881619
715	0.3446510283
716	0.3446448363
717	0.3446142536
718	0.3445931322
719	0.3445765055
720	0.3445511428
721	0.3445413351
722	0.344526103
723	0.3445036378
724	0.344479467
725	0.344451212
726	0.3444157617
727	0.3443658868
728	0.3443641851
729	0.3443509458
730	0.3442858518
731	0.3442568147
732	0.3442057762
733	0.3441564824
734	0.3441528157
735	0.3441321919
736	0.3441169216
737	0.3441007999
738	0.3440901838
739	0.3440624765
740	0.3440407244
741	0.3439931403
742	0.3439809414
743	0.343973227
744	0.3439288646
745	0.3438856618
746	0.3438368028
747	0.3438260618
748	0.3438224613
749	0.3437855088
750	0.3437783914
751	0.3437709011
752	0.3437525758
753	0.3437268392
754	0.343703079
755	0.3436950994
756	0.3436830896
757	0.3436475117
758	0.3436438768
759	0.3436121217
760	0.3436025515
761	0.3435813179
762	0.3435499496
763	0.3435022497
764	0.3434675405
765	0.3434295824
766	0.3433863257
767	0.3433502175
768	0.3433153512
769	0.343290875
770	0.3432675477
771	0.34322447
772	0.3431964889
773	0.3431463041
774	0.3431174357
775	0.3430456685
776	0.3430145495
777	0.3429912561
778	0.3429666347
779	0.3429372873
780	0.3428841381
781	0.3428693771
782	0.3428545287
783	0.3428248282
784	0.3428139066
785	0.3427635298
786	0.3427575193
787	0.3427478596
788	0.3427097187
789	0.3426506626
790	0.3426202909
791	0.3426128778
792	0.3426039569
793	0.3425990053
794	0.3425459902
795	0.3425404828
796	0.3425141263
797	0.3424676005
798	0.3424138658
799	0.3424085205
800	0.3423778679
801	0.3423555974
802	0.3423062328
803	0.3422942261
804	0.3422652541
805	0.342230474
806	0.34222633
807	0.3421702852
808	0.3421411133
809	0.3421046997
810	0.342075881
811	0.3420505183
812	0.342017697
813	0.3419741039
814	0.3419631289
815	0.3419141544
816	0.3418871753
817	0.3418652716
818	0.3418507198
819	0.3418459534
820	0.3418367221
821	0.3418164841
822	0.3417788076
823	0.3417633809
824	0.3417450391
825	0.3417104737
826	0.3416803097
827	0.3416573856
828	0.3416555276
829	0.3416267035
830	0.3416118194
831	0.3415890371
832	0.3415736071
833	0.3415533552
834	0.341538373
835	0.3415127611
836	0.3414513059
837	0.341428064
838	0.3414027272
839	0.3413840582
840	0.3413679124
841	0.3413335689
842	0.3413234665
843	0.3412850291
844	0.3412677874
845	0.3412354339
846	0.3412194699
847	0.3412165529
848	0.3411891379
849	0.3411600215
850	0.3411310197
851	0.3411037451
852	0.3410562923
853	0.3410345026
854	0.3410157486
855	0.3409743757
856	0.3409559239
857	0.3408634213
858	0.3408453455
859	0.3408409737
860	0.3408019022
861	0.3407361926
862	0.340723169
863	0.3407009531
864	0.3406826928
865	0.3406416646
866	0.3405987636
867	0.3405856822
868	0.3405442172
869	0.3405393021
870	0.3405350474
871	0.340517533
872	0.3404953737
873	0.3404794384
874	0.3404580892
875	0.3404340327
876	0.3404316637
877	0.340430003
878	0.3404267496
879	0.3403754169
880	0.3403669112
881	0.3403378864
882	0.3403211083
883	0.3403121523
884	0.3402656177
885	0.3402425934
886	0.3402064248
887	0.3401965922
888	0.3401819431
889	0.3401443578
890	0.3401064095
891	0.340090536
892	0.3400715108
893	0.3400478792
894	0.3399987886
895	0.3399715409
896	0.339950473
897	0.339927208
898	0.3399172072
899	0.3399021593
900	0.3398685402
901	0.3398621234
902	0.3398577217
903	0.3398374464
904	0.3398032076
905	0.3397667388
906	0.3397529681
907	0.3397463583
908	0.3397365321
909	0.3397171616
910	0.3397027064
911	0.3396198603
912	0.3395981628
913	0.3395860636
914	0.3395483663
915	0.339525633
916	0.3395111569
917	0.3394825281
918	0.3394735243
919	0.3394644331
920	0.3394618133
921	0.3394453142
922	0.3394006026
923	0.3393780139
924	0.3393501469
925	0.3393153205
926	0.3392791682
927	0.3392674226
928	0.3392553888
929	0.3392227511
930	0.3391955142
931	0.3391392686
932	0.3391186248
933	0.3391128731
934	0.3391033013
935	0.3390385568
936	0.3389857504
937	0.3389533229
938	0.3389041383
939	0.3388935952
940	0.3388822337
941	0.3388791331
942	0.3388491914
943	0.3387753642
944	0.3387369606
945	0.3387263124
946	0.3387105031
947	0.3386904741
948	0.3386547042
949	0.3385698433
950	0.3385648069
951	0.3385403561
952	0.3384935526
953	0.3384754194
954	0.3384474001
955	0.3384268747
956	0.3383866297
957	0.3383221942
958	0.3382991932
959	0.3382555437
960	0.3382290998
961	0.3382148802
962	0.3381729338
963	0.3381448029
964	0.3381273135
965	0.3381107412
966	0.3380840561
967	0.3380567161
968	0.338021742
969	0.3380106829
970	0.3379520801
971	0.3379511578
972	0.337887784
973	0.3378592593
974	0.3378511594
975	0.3378378736
976	0.3378167082
977	0.3377956971
978	0.3377075622
979	0.3376822784
980	0.3376681003
981	0.3376529451
982	0.3376130664
983	0.3375892829
984	0.3375870347
985	0.3375592149
986	0.337512281
987	0.337492027
988	0.3374786999
989	0.3374725672
990	0.337461626
991	0.3374484475
992	0.3374303408
993	0.3374102546
994	0.3373816675
995	0.3373653974
996	0.3372967295
997	0.337276397
998	0.3372270499
999	0.3372212832
1000	0.3371950559
1001	0.3371931808
1002	0.3371852851
1003	0.3371747009
1004	0.3371655741
1005	0.337155649
1006	0.3371489089
1007	0.3371440547
1008	0.3371347967
1009	0.3371272836
1010	0.3370918276
1011	0.3370502672
1012	0.3370242019
1013	0.3369870353
1014	0.3369625276
1015	0.3369443841
1016	0.336924541
1017	0.3369103185
1018	0.3368621625
1019	0.3368543933
1020	0.3368398847
1021	0.3368360913
1022	0.3368242826
1023	0.336817889
1024	0.3368020146
1025	0.3367731833
1026	0.336760049
1027	0.3367449769
1028	0.336734627
1029	0.3367270613
1030	0.3366771163
1031	0.3366009989
1032	0.3365755374
1033	0.3365721424
1034	0.3365439874
1035	0.3365370574
1036	0.3365361752
1037	0.3364726899
1038	0.3364505898
1039	0.3364363136
1040	0.3364150659
1041	0.3364021921
1042	0.336369382
1043	0.3363379037
1044	0.3363133384
1045	0.3363055907
1046	0.336302254
1047	0.3362932576
1048	0.3362721549
1049	0.3362491708
1050	0.3362149133
1051	0.3361912167
1052	0.336170928
1053	0.33611011
1054	0.3361044703
1055	0.3360943962
1056	0.3360645582
1057	0.3360545966
1058	0.3360262865
1059	0.3360143989
1060	0.3359990186
1061	0.3359686822
1062	0.3359373396
1063	0.3359109752
1064	0.3358945716
1065	0.335847463
1066	0.3358299864
1067	0.3358282795
1068	0.3358152091
1069	0.3357804206
1070	0.3357694374
1071	0.3357624556
1072	0.3357243272
1073	0.3357074119
1074	0.335660561
1075	0.3356567647
1076	0.3356421045
1077	0.3355955674
1078	0.3355662505
1079	0.3355478075
1080	0.3355442717
1081	0.3355045414
1082	0.3354952998
1083	0.3354828082
1084	0.3354602176
1085	0.3354588581
1086	0.3354553166
1087	0.3354438102
1088	0.3353997658
1089	0.3353760169
1090	0.3353490543
1091	0.3353338693
1092	0.3353129186
1093	0.3353088706
1094	0.3353070045
1095	0.3352841576
1096	0.3352047463
1097	0.3351959423
1098	0.3351918336
1099	0.3351598976
1100	0.3351254732
1101	0.3351129264
1102	0.335072816
1103	0.3350661374
1104	0.3350456322
1105	0.335033989
1106	0.335020819
1107	0.3349942679
1108	0.3349518298
1109	0.3349476054
1110	0.3349448512
1111	0.3349308765
1112	0.3349057294
1113	0.3348434942
1114	0.3348284777
1115	0.3348078542
1116	0.3347968331
1117	0.3347646633
1118	0.3347465616
1119	0.3347167179
1120	0.3347106136
1121	0.3346938804
1122	0.334671312
1123	0.3346687124
1124	0.3346592478
1125	0.3346289604
1126	0.3346254361
1127	0.3346120986
1128	0.3345919928
1129	0.3345692205
1130	0.3345645176
1131	0.3345533704
1132	0.3345418374
1133	0.3345284569
1134	0.3344840126
1135	0.3344678763
1136	0.3344478076
1137	0.3343983915
1138	0.3343498812
1139	0.3343458989
1140	0.334338347
1141	0.3343235496
1142	0.3343073371
1143	0.3342783206
1144	0.3342377898
1145	0.3342030032
1146	0.3341994015
1147	0.3341849971
1148	0.3341826923
1149	0.3341791081
1150	0.334170049
1151	0.3341306789
1152	0.334118338
1153	0.3341155768
1154	0.3341020133
1155	0.3340935159
1156	0.3340441413
1157	0.3339987497
1158	0.3339644163
1159	0.3339432214
1160	0.3339342541
1161	0.3339213347
1162	0.3339190029
1163	0.3339181171
1164	0.3339073683
1165	0.3339057718
1166	0.3339003677
1167	0.3338741681
1168	0.3338659448
1169	0.3338286422
1170	0.3337840453
1171	0.3337704966
1172	0.3337662058
1173	0.3337623723
1174	0.3337082636
1175	0.333669464
1176	0.3336473629
1177	0.3336457406
1178	0.3336404357
1179	0.33363549
1180	0.3336245519
1181	0.3336222681
1182	0.3336187421
1183	0.3336141643
1184	0.3336086052
1185	0.3335932785
1186	0.3335668255
1187	0.3335634479
1188	0.333559252
1189	0.3335328202
1190	0.3335115132
1191	0.3335085124
1192	0.3334801164
1193	0.3334701845
1194	0.3334516424
1195	0.3334485949
1196	0.3334285709
1197	0.3334147911
1198	0.3334088037
1199	0.3334017542
1200	0.3333982268
1201	0.333385946
1202	0.3333769713
1203	0.3333233318
1204	0.3333191414
1205	0.3332822008
1206	0.3332699823
1207	0.333251003
1208	0.3332346657
1209	0.3332302671
1210	0.3332040366
1211	0.3331721031
1212	0.333150969
1213	0.3331464083
1214	0.3331253673
1215	0.3330870822
1216	0.3330834764
1217	0.3330535724
1218	0.3329913444
1219	0.3329740932
1220	0.332967894
1221	0.3329645852
1222	0.332958867
1223	0.332954615
1224	0.3328957634
1225	0.3328686214
1226	0.3328645974
