iter	Passed	Remaining
229	181	7727
230	182	7727
231	183	7731
232	184	7726
233	184	7720
234	185	7717
235	186	7714
236	187	7710
237	187	7708
238	188	7705
239	189	7702
240	190	7705
241	191	7706
242	191	7703
243	192	7707
244	193	7706
245	194	7702
246	195	7703
247	195	7702
248	196	7700
249	197	7698
250	198	7703
251	199	7704
252	200	7707
253	200	7708
254	201	7710
255	202	7709
256	203	7708
257	204	7712
258	205	7710
259	205	7707
260	206	7709
261	207	7709
262	208	7712
263	209	7715
264	209	7713
265	210	7720
266	211	7718
267	212	7715
268	213	7709
269	213	7705
270	214	7702
271	215	7699
272	216	7699
273	216	7698
274	217	7695
275	218	7693
276	219	7691
277	219	7687
278	220	7690
279	221	7688
280	222	7684
281	223	7685
282	223	7683
283	224	7680
284	225	7676
285	225	7674
286	226	7671
287	227	7671
288	228	7667
289	228	7664
290	229	7662
291	230	7662
292	231	7663
293	232	7659
294	232	7655
295	233	7652
296	234	7651
297	234	7647
298	235	7644
299	236	7645
300	237	7642
301	238	7644
302	239	7652
303	239	7651
304	240	7649
305	241	7647
306	242	7644
307	242	7639
308	243	7638
309	244	7635
310	244	7632
311	245	7629
312	246	7627
313	247	7624
314	247	7621
315	248	7618
316	249	7617
317	250	7614
318	250	7610
319	251	7606
320	252	7603
321	252	7602
322	253	7607
323	254	7605
324	255	7605
325	256	7603
326	256	7601
327	257	7600
328	258	7599
329	259	7598
330	260	7597
331	260	7595
332	261	7596
333	262	7595
334	263	7595
335	264	7595
336	264	7595
337	265	7593
338	266	7592
339	267	7593
340	268	7591
341	268	7592
342	269	7589
343	270	7592
344	271	7592
345	272	7591
346	272	7590
347	273	7590
348	274	7589
349	275	7587
350	276	7590
351	276	7589
352	277	7587
353	278	7584
354	279	7582
355	279	7580
356	280	7579
357	281	7580
358	282	7581
359	283	7580
360	283	7577
361	284	7576
362	285	7576
363	286	7575
364	286	7575
365	287	7572
366	288	7573
367	289	7571
368	290	7569
369	290	7567
370	291	7565
371	292	7563
372	293	7562
373	293	7559
374	294	7558
375	295	7557
376	295	7555
377	296	7555
378	297	7554
379	298	7555
380	299	7554
381	300	7553
382	300	7552
383	301	7550
384	302	7550
385	303	7555
386	304	7558
387	305	7559
388	306	7564
389	306	7562
390	307	7559
391	308	7557
392	309	7555
393	309	7553
394	310	7552
395	311	7551
396	312	7548
397	312	7544
398	313	7542
399	314	7539
400	314	7537
401	315	7540
402	316	7539
403	317	7541
404	318	7539
405	318	7537
406	319	7536
407	320	7535
408	321	7533
409	321	7531
410	322	7529
411	323	7532
412	324	7534
413	325	7536
414	326	7534
415	327	7535
416	327	7533
417	328	7532
418	329	7534
419	330	7533
420	330	7531
421	331	7531
422	332	7537
423	333	7535
424	334	7532
425	335	7529
426	335	7529
427	336	7527
428	337	7524
429	338	7522
430	338	7521
431	339	7525
432	341	7540
433	341	7537
434	342	7535
435	343	7537
436	344	7534
437	345	7536
438	346	7537
439	346	7537
440	347	7535
441	348	7536
442	349	7538
443	350	7539
444	351	7539
445	352	7540
446	352	7541
447	353	7543
448	354	7546
449	355	7549
450	356	7554
451	357	7556
452	358	7554
453	359	7553
454	360	7552
455	360	7549
456	361	7546
457	362	7544
458	362	7542
459	363	7539
460	364	7539
461	365	7537
462	365	7536
463	366	7536
464	367	7533
465	368	7534
466	369	7534
467	369	7532
468	370	7531
469	371	7529
470	372	7527
471	372	7524
472	373	7522
473	374	7520
474	374	7518
475	375	7516
476	376	7514
477	377	7512
478	377	7508
479	378	7505
480	379	7503
481	379	7500
482	380	7498
483	381	7501
484	382	7499
485	382	7496
486	383	7495
487	384	7494
488	385	7492
489	385	7489
490	386	7487
491	387	7486
492	388	7483
493	388	7481
494	389	7479
495	390	7477
496	390	7475
497	391	7474
498	392	7473
499	393	7477
500	394	7477
501	395	7475
502	395	7473
503	396	7471
504	397	7469
505	397	7466
506	398	7464
507	399	7462
508	400	7465
509	401	7464
510	401	7462
511	402	7461
512	403	7461
513	404	7459
514	404	7457
515	405	7455
516	406	7455
517	407	7453
518	407	7451
519	408	7451
520	409	7448
521	410	7447
522	410	7446
523	411	7445
524	412	7445
525	413	7442
526	413	7441
527	414	7439
528	415	7439
529	417	7462
530	418	7469
531	420	7481
532	421	7484
533	422	7483
534	422	7480
535	423	7479
536	424	7477
537	425	7476
538	425	7474
539	426	7473
540	427	7470
541	428	7469
542	428	7468
543	429	7467
544	430	7467
545	431	7467
546	432	7465
547	432	7464
548	433	7463
549	434	7461
550	434	7459
551	435	7458
552	436	7457
553	437	7456
554	438	7454
555	438	7451
556	439	7449
557	440	7447
558	440	7445
559	441	7444
560	442	7442
561	443	7440
562	443	7438
563	444	7438
564	445	7436
565	446	7436
566	446	7435
567	447	7434
568	448	7433
569	449	7432
570	450	7431
571	450	7430
572	451	7428
573	452	7426
574	453	7425
575	453	7425
576	454	7427
577	455	7426
578	456	7425
579	457	7426
580	458	7427
581	458	7425
582	459	7423
583	460	7422
584	461	7423
585	461	7421
586	462	7419
587	463	7417
588	464	7414
589	464	7413
590	465	7413
591	466	7411
592	467	7409
593	467	7407
594	468	7404
595	469	7402
596	469	7399
597	470	7397
598	471	7395
599	471	7393
600	472	7392
601	473	7396
602	474	7398
603	475	7398
604	476	7400
605	477	7399
606	478	7398
607	478	7395
608	479	7395
609	480	7393
610	481	7391
611	481	7390
612	482	7388
613	483	7386
614	489	7476
615	490	7476
616	491	7478
617	492	7476
618	493	7474
619	493	7473
620	494	7472
621	495	7470
622	496	7470
623	497	7468
624	497	7466
625	498	7463
626	499	7460
627	499	7458
628	500	7458
629	501	7456
630	502	7455
631	502	7455
632	504	7461
633	504	7459
634	505	7460
635	506	7459
636	507	7458
637	508	7456
638	508	7455
639	509	7453
640	510	7451
641	511	7449
642	511	7447
643	512	7445
644	513	7443
645	514	7447
646	515	7446
647	515	7445
648	516	7445
649	517	7444
650	518	7443
651	519	7444
652	520	7443
653	520	7442
654	521	7441
655	522	7440
656	523	7439
657	523	7438
658	524	7439
659	525	7439
660	526	7439
661	527	7438
662	528	7437
663	528	7436
664	529	7434
665	530	7431
666	530	7429
667	531	7427
668	532	7425
669	533	7423
670	533	7421
671	534	7421
672	535	7419
673	536	7417
674	536	7415
675	537	7413
676	538	7411
677	538	7409
678	539	7407
679	540	7405
680	541	7403
681	541	7403
682	542	7402
683	543	7400
684	544	7398
685	544	7397
686	545	7395
687	546	7394
688	546	7391
689	547	7390
690	548	7389
691	549	7387
692	550	7387
693	550	7387
694	551	7387
695	552	7387
696	553	7386
697	554	7386
698	554	7384
699	555	7383
700	556	7381
701	557	7380
702	557	7378
703	558	7376
704	559	7375
705	560	7374
706	560	7373
707	561	7372
708	562	7372
709	563	7370
710	564	7369
711	564	7369
712	565	7367
713	566	7368
714	567	7365
715	567	7363
716	568	7361
717	569	7359
718	570	7359
719	570	7357
720	571	7355
721	572	7354
722	573	7353
723	573	7350
724	574	7349
725	575	7347
726	575	7344
727	576	7342
728	577	7340
729	577	7337
730	578	7337
731	579	7337
732	580	7338
733	581	7336
734	581	7335
735	582	7334
736	583	7333
737	584	7332
738	585	7332
739	585	7331
740	586	7329
741	587	7330
742	588	7329
743	589	7329
744	589	7329
745	590	7327
746	591	7326
747	592	7325
748	593	7324
749	593	7323
750	594	7322
751	595	7321
752	596	7320
753	596	7319
754	597	7317
755	598	7316
756	599	7315
757	599	7313
758	600	7312
759	601	7310
760	602	7309
761	602	7307
762	603	7306
763	604	7304
764	605	7304
765	605	7302
766	606	7301
767	607	7299
768	608	7298
769	608	7298
770	609	7299
771	610	7297
772	611	7296
773	612	7295
774	612	7293
775	613	7292
776	614	7290
777	614	7288
778	615	7287
779	616	7286
780	617	7284
781	617	7283
782	618	7282
783	619	7281
784	620	7279
785	620	7277
786	621	7276
787	622	7274
788	622	7272
789	623	7271
790	624	7271
791	625	7269
792	625	7267
793	626	7266
794	627	7264
795	628	7262
796	628	7261
797	629	7260
798	630	7257
799	631	7256
800	631	7255
801	632	7253
802	633	7252
803	633	7250
804	634	7248
805	635	7247
806	636	7245
807	636	7244
808	637	7243
809	638	7241
810	639	7240
811	639	7240
812	640	7239
813	641	7237
814	642	7235
815	642	7234
816	643	7232
817	644	7230
818	644	7229
819	645	7227
820	646	7226
821	647	7224
822	647	7222
823	648	7220
824	649	7218
825	649	7218
826	650	7217
827	651	7215
828	652	7213
829	652	7212
830	653	7211
831	654	7210
832	655	7208
833	655	7207
834	656	7205
835	657	7203
836	657	7202
837	658	7201
838	659	7201
839	660	7200
840	660	7198
841	661	7197
842	662	7195
843	663	7194
844	665	7206
845	667	7220
846	668	7220
847	669	7222
848	669	7221
849	670	7221
850	671	7221
851	672	7221
852	673	7221
853	674	7222
854	675	7221
855	675	7219
856	676	7217
857	677	7215
858	677	7214
859	678	7213
860	679	7211
861	680	7210
862	680	7209
863	681	7208
864	682	7206
865	683	7205
866	683	7204
867	684	7203
868	685	7201
869	686	7200
870	686	7198
871	687	7197
872	688	7196
873	688	7194
874	689	7192
875	690	7190
876	691	7188
877	691	7187
878	692	7185
879	693	7184
880	693	7182
881	694	7181
882	695	7181
883	696	7179
884	696	7177
885	697	7176
886	698	7174
887	699	7173
888	699	7172
889	700	7171
890	701	7170
891	702	7169
892	702	7168
893	703	7167
894	704	7165
895	705	7165
896	705	7163
897	706	7162
898	707	7162
899	708	7162
900	709	7161
901	709	7159
902	710	7157
903	711	7155
904	711	7153
905	712	7152
906	713	7151
907	714	7150
908	714	7148
909	715	7147
910	716	7145
911	716	7144
912	717	7143
913	718	7141
914	719	7140
915	719	7139
916	720	7137
917	721	7136
918	722	7139
919	723	7139
920	724	7140
921	725	7141
922	726	7139
923	726	7138
924	727	7140
925	728	7140
926	729	7139
927	730	7139
928	731	7138
929	731	7138
930	732	7137
931	733	7135
932	734	7134
933	734	7132
934	735	7131
935	736	7130
936	737	7129
937	737	7127
938	738	7126
939	739	7124
940	740	7124
941	740	7122
942	741	7121
943	742	7119
944	742	7118
945	743	7117
946	744	7117
947	745	7115
948	746	7115
949	747	7116
950	747	7114
951	748	7114
952	749	7113
953	750	7114
954	751	7113
955	752	7114
956	752	7114
957	753	7113
958	754	7111
959	755	7111
960	755	7109
961	756	7108
962	757	7107
963	758	7106
964	758	7104
965	759	7104
966	760	7102
967	761	7101
968	761	7100
969	762	7099
970	763	7097
971	764	7097
972	764	7097
973	765	7095
974	766	7094
975	767	7093
976	767	7092
977	768	7092
978	769	7091
979	770	7090
980	771	7089
981	771	7087
982	772	7086
983	773	7084
984	773	7083
985	774	7082
986	775	7081
987	776	7081
988	777	7080
989	777	7079
990	778	7077
991	779	7076
992	780	7075
993	780	7074
994	781	7074
995	782	7073
996	783	7072
997	783	7071
998	784	7069
999	785	7068
1000	786	7066
1001	786	7065
1002	787	7063
1003	788	7062
1004	788	7060
1005	789	7059
1006	790	7058
1007	791	7057
1008	791	7055
1009	792	7054
1010	793	7054
1011	794	7053
1012	794	7052
1013	795	7051
1014	796	7049
1015	797	7048
1016	797	7046
1017	798	7047
1018	799	7045
1019	800	7044
1020	800	7042
1021	801	7041
1022	802	7039
1023	802	7038
1024	804	7042
1025	804	7040
1026	805	7039
1027	806	7038
1028	807	7036
1029	807	7035
1030	809	7038
1031	809	7038
1032	810	7038
1033	811	7036
1034	812	7036
1035	813	7036
1036	813	7034
1037	814	7034
1038	815	7033
1039	816	7031
1040	816	7031
1041	817	7029
1042	818	7027
1043	819	7026
1044	819	7026
1045	820	7025
1046	821	7024
1047	822	7023
1048	822	7021
1049	823	7019
1050	824	7019
1051	825	7018
1052	825	7017
1053	826	7015
1054	827	7014
1055	828	7013
1056	828	7012
1057	829	7010
1058	830	7008
1059	830	7008
1060	831	7006
1061	832	7005
1062	833	7004
1063	833	7003
1064	834	7002
1065	835	7001
1066	836	7000
1067	836	6998
1068	837	6996
1069	838	6996
1070	839	6995
1071	839	6994
1072	840	6993
1073	841	6992
1074	842	6991
1075	842	6990
1076	843	6988
1077	844	6988
1078	845	6987
1079	845	6986
1080	846	6986
1081	847	6985
1082	848	6983
1083	848	6982
1084	849	6981
1085	850	6979
1086	851	6978
1087	851	6976
1088	852	6975
1089	853	6974
1090	854	6974
1091	854	6973
1092	855	6973
1093	858	6988
1094	860	6999
1095	861	7001
1096	862	7002
1097	863	7003
1098	864	7004
1099	865	7004
1100	866	7004
1101	867	7003
1102	868	7002
1103	869	7003
1104	869	7001
1105	870	7001
1106	871	7000
1107	872	7001
1108	873	7001
1109	874	7000
1110	874	6999
1111	875	6999
1112	876	6999
1113	877	6998
1114	878	6997
1115	878	6995
1116	879	6994
1117	880	6994
1118	881	6992
1119	881	6992
1120	882	6991
1121	883	6989
1122	884	6988
1123	884	6987
1124	885	6986
1125	886	6985
1126	887	6985
1127	887	6984
1128	888	6983
1129	889	6982
1130	890	6980
1131	890	6979
1132	891	6978
1133	892	6977
1134	893	6977
1135	894	6975
1136	894	6974
1137	895	6973
1138	896	6972
1139	896	6970
1140	897	6970
1141	898	6969
1142	899	6968
1143	900	6967
1144	900	6966
1145	901	6965
1146	902	6964
1147	903	6963
1148	903	6962
1149	904	6961
1150	905	6960
1151	906	6961
1152	907	6960
1153	907	6960
1154	908	6958
1155	909	6958
1156	910	6957
1157	911	6957
1158	912	6957
1159	912	6955
1160	913	6955
1161	914	6955
1162	915	6953
1163	915	6952
1164	916	6950
1165	917	6949
1166	917	6948
1167	918	6946
1168	919	6945
1169	920	6944
1170	920	6943
1171	921	6942
1172	922	6942
1173	923	6940
1174	923	6939
1175	924	6937
1176	925	6937
1177	926	6935
1178	926	6933
1179	927	6933
1180	928	6931
1181	929	6930
1182	929	6929
1183	930	6928
1184	931	6926
1185	931	6925
1186	932	6924
1187	933	6922
1188	934	6922
1189	934	6920
1190	935	6920
1191	936	6918
1192	937	6918
1193	937	6916
1194	938	6915
1195	939	6914
1196	939	6912
1197	940	6912
1198	941	6911
1199	942	6909
1200	942	6907
1201	943	6906
1202	944	6905
1203	944	6903
1204	945	6902
1205	946	6902
1206	947	6900
1207	947	6899
1208	948	6897
1209	949	6896
1210	949	6894
1211	950	6893
1212	951	6892
1213	952	6895
1214	953	6894
1215	954	6892
1216	954	6891
1217	955	6890
1218	956	6889
1219	957	6888
1220	957	6886
1221	958	6886
1222	959	6884
1223	959	6882
1224	960	6881
1225	961	6879
1226	961	6878
